start_time,peak_time,end_time,peak_amplitude_z,peak_amplitude_power,duration_ms,abs_start_sample,abs_peak_sample,abs_end_sample,epoch_rel_start_sample,epoch_rel_peak_sample,epoch_rel_end_sample,peak_frequency_hz,n_cycles,peak_phase_rad,iri_s,shank,area,reference_channel_idx,epoch_idx,state_code,state_name
121.9705,121.9917,122.0109,11.7092,2979.0507,40.3995,304930,304983,305031,304930,304983,305031,161.2923,6.5806,2.9766,118.3118,1,CA3,14,0,0,Awake
252.1866,252.2098,252.2310,29.1817,7418.7715,44.3995,630474,630532,630585,630474,630532,630585,161.2923,7.2258,3.1393,48.3402,1,CA3,14,0,0,Awake
258.0037,258.0257,258.0469,15.7272,4010.7677,43.1995,645017,645072,645125,645017,645072,645125,120.9692,5.2742,3.1230,5.8159,1,CA3,14,0,0,Awake
277.2822,277.3042,277.3250,18.4327,4700.7786,42.7995,693214,693269,693321,693214,693269,693321,120.9692,5.2258,3.0873,19.2786,1,CA3,14,0,0,Awake
292.7681,292.7877,292.8101,19.9472,5047.5740,41.9995,731929,731978,732034,731929,731978,732034,120.9692,5.1290,-3.0395,15.4834,1,CA3,14,0,0,Awake
297.0888,297.1076,297.1296,12.0414,3033.0094,40.7995,742731,742778,742833,742731,742778,742833,120.9692,4.9839,3.0711,4.3199,1,CA3,14,0,0,Awake
356.6093,356.6301,356.6501,14.0197,3575.3718,40.7995,891534,891586,891636,891534,891586,891636,120.9692,4.9839,-2.9948,59.5225,1,CA3,14,0,0,Awake
472.3471,472.3707,472.3915,19.3271,4891.6977,44.3995,1180882,1180941,1180993,1180882,1180941,1180993,120.9692,5.4194,3.0973,115.7406,1,CA3,14,0,0,Awake
480.2066,480.2242,480.2478,12.6056,3173.7019,41.1995,1200531,1200575,1200634,1200531,1200575,1200634,120.9692,5.0323,3.0665,7.8535,1,CA3,14,0,0,Awake
500.5891,500.6055,500.6427,4.8148,1212.9220,53.5994,1251488,1251529,1251622,1251488,1251529,1251622,120.9692,6.5323,-3.0817,20.3814,1,CA3,14,0,0,Awake
518.4309,518.4533,518.4757,26.2993,6706.9579,44.7995,1296093,1296149,1296205,1296093,1296149,1296205,120.9692,5.4677,3.0813,17.8478,1,CA3,14,0,0,Awake
541.5275,541.5475,541.5719,17.2365,4363.3865,44.3995,1353835,1353885,1353946,1353835,1353885,1353946,120.9692,5.4194,3.0583,23.0941,1,CA3,14,0,0,Awake
